SEAM slot,SEAM pin,Signal ID,Pigtail slot,Pigtail pin,GBTx ID,Conn to PT,DCB slot,DCB pin,Conn to other DCBs
2,E11,DC4_ELK_CH8_N,1,D36,02 - 5,True,,,False
2,E12,DC4_ELK_CH8_P,1,C36,02 - 5,True,,,False
2,E15,DC4_ELK_CH9_N,1,B38,02 - 5,True,,,False
2,E16,DC4_ELK_CH9_P,1,B37,02 - 5,True,,,False
2,A3,DC5_ELK_CH0_N,,,,False,,,False
2,A4,DC5_ELK_CH0_P,,,,False,,,False
2,A7,DC5_ELK_CH1_N,,,,False,,,False
2,A8,DC5_ELK_CH1_P,,,,False,,,False
2,F5,DC5_ELK_CH10_N,0,H03,02 - 6,True,,,False
2,F6,DC5_ELK_CH10_P,0,H04,02 - 6,True,,,False
2,F9,DC5_ELK_CH11_N,0,J06,02 - 6,True,,,False
2,F10,DC5_ELK_CH11_P,0,I06,02 - 6,True,,,False
2,B5,DC5_ELK_CH2_N,,,,False,,,False
2,B6,DC5_ELK_CH2_P,,,,False,,,False
2,B9,DC5_ELK_CH3_N,0,G01,02 - 6,True,,,False
2,B10,DC5_ELK_CH3_P,0,G02,02 - 6,True,,,False
2,C3,DC5_ELK_CH4_N,0,J01,02 - 6,True,,,False
2,C4,DC5_ELK_CH4_P,0,I01,02 - 6,True,,,False
2,C7,DC5_ELK_CH5_N,0,H02,02 - 6,True,,,False
2,C8,DC5_ELK_CH5_P,0,H01,02 - 6,True,,,False
2,D5,DC5_ELK_CH6_N,0,G04,02 - 6,True,,,False
2,D6,DC5_ELK_CH6_P,0,G03,02 - 6,True,,,False
2,D9,DC5_ELK_CH7_N,,,,False,,,False
2,D10,DC5_ELK_CH7_P,,,,False,,,False
2,E3,DC5_ELK_CH8_N,0,I02,02 - 6,True,,,False
2,E4,DC5_ELK_CH8_P,0,J02,02 - 6,True,,,False
2,E7,DC5_ELK_CH9_N,0,I05,02 - 6,True,,,False
2,E8,DC5_ELK_CH9_P,0,J05,02 - 6,True,,,False
